position,name,title,description,semantic_type,semantic_type_basis,source_kind,section,codebook_pages,special_values,blank_meaning,temporal_role,leakage_risk,leakage_reason,competition_use,staff_question,train_missing_fraction,test_missing_fraction,missing_fraction_difference,train_unique_count,train_top_values,test_top_values,train_min,train_max,exact_duplicate_of
168,HPVADVC2,Have you ever had the HPV vaccination?,"Have you ever had the HPV vaccination? (Human Papilloma Virus (Human Pap•uh•loh•muh Virus), Gardasil (Gar•duh• seel), Cervarix (Serv a rix))",categorical,A small set of documented response categories,optional_module,12.1,[77],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9753485608057659,0.9747483520602676,0.0006002087454983762,6,"[{""value"": ""<MISSING>"", ""count"": 320046, ""fraction"": 0.9753485608057659}, {""value"": ""2"", ""count"": 6197, ""fraction"": 0.018885519679400248}, {""value"": ""1"", ""count"": 1099, ""fraction"": 0.0033492312615234585}, {""value"": ""7"", ""count"": 764, ""fraction"": 0.0023283099943620764}, {""value"": ""9"", ""count"": 18, ""fraction"": 5.485547107135783e-05}, {""value"": ""3"", ""count"": 11, ""fraction"": 3.3522787876940896e-05}]","[{""value"": ""<MISSING>"", ""count"": 106617, ""fraction"": 0.9747483520602676}, {""value"": ""2.0"", ""count"": 2159, ""fraction"": 0.019738706698726446}, {""value"": ""1.0"", ""count"": 346, ""fraction"": 0.0031633128845573646}, {""value"": ""7.0"", ""count"": 243, ""fraction"": 0.0022216330374203457}, {""value"": ""9.0"", ""count"": 11, ""fraction"": 0.00010056775066511853}, {""value"": ""3.0"", ""count"": 3, ""fraction"": 2.7427568363214145e-05}]",1.0,9.0,
169,HPVADSHT,How many HPV shots did you receive?,How many HPV shots did you receive?,count,"The variable records a number, duration, or frequency",optional_module,12.2,[78],"[{""code"": ""77"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""99"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9966507687384766,0.9968366871154426,0.0001859183769660211,6,"[{""value"": ""<MISSING>"", ""count"": 327036, ""fraction"": 0.9966507687384766}, {""value"": ""3"", ""count"": 599, ""fraction"": 0.0018254681762079632}, {""value"": ""1"", ""count"": 190, ""fraction"": 0.0005790299724198881}, {""value"": ""77"", ""count"": 173, ""fraction"": 0.0005272220275191614}, {""value"": ""2"", ""count"": 134, ""fraction"": 0.0004083685068645527}, {""value"": ""99"", ""count"": 3, ""fraction"": 9.14257851189297e-06}]","[{""value"": ""<MISSING>"", ""count"": 109033, ""fraction"": 0.9968366871154426}, {""value"": ""3.0"", ""count"": 188, ""fraction"": 0.0017187942840947532}, {""value"": ""1.0"", ""count"": 58, ""fraction"": 0.0005302663216888068}, {""value"": ""2.0"", ""count"": 52, ""fraction"": 0.0004754111849623785}, {""value"": ""77.0"", ""count"": 48, ""fraction"": 0.00043884109381142633}]",1.0,99.0,
170,SHINGLE2,Have you ever had the shingles or zoster vaccine?,Have you ever had the shingles or zoster vaccine?,binary,Two documented substantive responses,optional_module,13.1,[78],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9366145031770461,0.9365874619442489,2.704123279717585e-05,5,"[{""value"": ""<MISSING>"", ""count"": 307336, ""fraction"": 0.9366145031770461}, {""value"": ""2"", ""count"": 14554, ""fraction"": 0.04435369588736343}, {""value"": ""1"", ""count"": 5900, ""fraction"": 0.01798040440672284}, {""value"": ""7"", ""count"": 336, ""fraction"": 0.0010239687933320128}, {""value"": ""9"", ""count"": 9, ""fraction"": 2.7427735535678914e-05}]","[{""value"": ""<MISSING>"", ""count"": 102443, ""fraction"": 0.9365874619442489}, {""value"": ""2.0"", ""count"": 4947, ""fraction"": 0.04522806023094013}, {""value"": ""1.0"", ""count"": 1884, ""fraction"": 0.017224512932098483}, {""value"": ""7.0"", ""count"": 100, ""fraction"": 0.0009142522787738049}, {""value"": ""9.0"", ""count"": 5, ""fraction"": 4.571261393869024e-05}]",1.0,9.0,
171,HADMAM,Have You Ever Had a Mammogram,A mammogram is an x-ray of each breast to look for breast cancer. Have you ever had a mammogram?,categorical,A small set of documented response categories,optional_module,14.1,[78],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9481951026254438,0.9485641667961857,0.0003690641707418951,5,"[{""value"": ""<MISSING>"", ""count"": 311136, ""fraction"": 0.9481951026254438}, {""value"": ""1"", ""count"": 13828, ""fraction"": 0.04214119188748534}, {""value"": ""2"", ""count"": 3119, ""fraction"": 0.009505234126198059}, {""value"": ""9"", ""count"": 27, ""fraction"": 8.228320660703673e-05}, {""value"": ""7"", ""count"": 25, ""fraction"": 7.618815426577475e-05}]","[{""value"": ""<MISSING>"", ""count"": 103753, ""fraction"": 0.9485641667961857}, {""value"": ""1.0"", ""count"": 4548, ""fraction"": 0.04158019363863264}, {""value"": ""2.0"", ""count"": 1055, ""fraction"": 0.009645361541063642}, {""value"": ""7.0"", ""count"": 12, ""fraction"": 0.00010971027345285658}, {""value"": ""9.0"", ""count"": 11, ""fraction"": 0.00010056775066511853}]",1.0,9.0,
172,HOWLONG,How Long since Last Mammogram,How long has it been since you had your last mammogram?,ordinal,Documented categories follow a meaningful order,optional_module,14.2,[79],"[{""code"": ""7"", ""label"": ""Don’t know/Not sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9578618556386853,0.9584380914069428,0.0005762357682574937,8,"[{""value"": ""<MISSING>"", ""count"": 314308, ""fraction"": 0.9578618556386853}, {""value"": ""1"", ""count"": 8504, ""fraction"": 0.025916162555045943}, {""value"": ""2"", ""count"": 2398, ""fraction"": 0.007307967757173114}, {""value"": ""5"", ""count"": 1138, ""fraction"": 0.003468084782178067}, {""value"": ""3"", ""count"": 956, ""fraction"": 0.0029134350191232267}, {""value"": ""4"", ""count"": 704, ""fraction"": 0.0021454584241242173}, {""value"": ""7"", ""count"": 117, ""fraction"": 0.00035656056196382586}, {""value"": ""9"", ""count"": 10, ""fraction"": 3.04752617063099e-05}]","[{""value"": ""<MISSING>"", ""count"": 104833, ""fraction"": 0.9584380914069428}, {""value"": ""1.0"", ""count"": 2830, ""fraction"": 0.025873339489298677}, {""value"": ""2.0"", ""count"": 763, ""fraction"": 0.006975744887044131}, {""value"": ""5.0"", ""count"": 388, ""fraction"": 0.003547298841642363}, {""value"": ""3.0"", ""count"": 285, ""fraction"": 0.0026056189945053436}, {""value"": ""4.0"", ""count"": 238, ""fraction"": 0.0021759204234816556}, {""value"": ""7.0"", ""count"": 38, ""fraction"": 0.00034741586593404583}, {""value"": ""9.0"", ""count"": 4, ""fraction"": 3.6570091150952194e-05}]",1.0,9.0,
173,HADPAP2,Ever Had a Pap Test,A Pap test is a test for cancer of the cervix. Have you ever had a Pap test?,categorical,A small set of documented response categories,optional_module,14.3,[79],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9482133877824676,0.9486098794101244,0.00039649162765686974,5,"[{""value"": ""<MISSING>"", ""count"": 311142, ""fraction"": 0.9482133877824676}, {""value"": ""1"", ""count"": 15861, ""fraction"": 0.04833681259237814}, {""value"": ""2"", ""count"": 1016, ""fraction"": 0.003096286589361086}, {""value"": ""7"", ""count"": 88, ""fraction"": 0.00026818230301552717}, {""value"": ""9"", ""count"": 28, ""fraction"": 8.533073277766773e-05}]","[{""value"": ""<MISSING>"", ""count"": 103758, ""fraction"": 0.9486098794101244}, {""value"": ""1.0"", ""count"": 5237, ""fraction"": 0.04787939183938416}, {""value"": ""2.0"", ""count"": 340, ""fraction"": 0.0031084577478309363}, {""value"": ""7.0"", ""count"": 33, ""fraction"": 0.0003017032519953556}, {""value"": ""9.0"", ""count"": 11, ""fraction"": 0.00010056775066511853}]",1.0,9.0,
174,LASTPAP2,How Long Since Last Pap Test,How long has it been since you had your last Pap test?,ordinal,Documented categories follow a meaningful order,optional_module,14.4,[80],"[{""code"": ""7"", ""label"": ""Don’t know/Not sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9516723299861337,0.9521297506834036,0.00045742069726983914,8,"[{""value"": ""<MISSING>"", ""count"": 312277, ""fraction"": 0.9516723299861337}, {""value"": ""1"", ""count"": 6413, ""fraction"": 0.01954378533225654}, {""value"": ""5"", ""count"": 3344, ""fraction"": 0.010190927514590031}, {""value"": ""2"", ""count"": 2957, ""fraction"": 0.009011534886555839}, {""value"": ""3"", ""count"": 1601, ""fraction"": 0.0048790893991802154}, {""value"": ""4"", ""count"": 1172, ""fraction"": 0.0035717006719795208}, {""value"": ""7"", ""count"": 355, ""fraction"": 0.0010818717905740015}, {""value"": ""9"", ""count"": 16, ""fraction"": 4.8760418730095845e-05}]","[{""value"": ""<MISSING>"", ""count"": 104143, ""fraction"": 0.9521297506834036}, {""value"": ""1.0"", ""count"": 2137, ""fraction"": 0.01953757119739621}, {""value"": ""5.0"", ""count"": 1134, ""fraction"": 0.010367620841294946}, {""value"": ""2.0"", ""count"": 953, ""fraction"": 0.008712824216714361}, {""value"": ""3.0"", ""count"": 511, ""fraction"": 0.004671829144534143}, {""value"": ""4.0"", ""count"": 381, ""fraction"": 0.0034833011821281965}, {""value"": ""7.0"", ""count"": 119, ""fraction"": 0.0010879602117408278}, {""value"": ""9.0"", ""count"": 1, ""fraction"": 9.142522787738048e-06}]",1.0,9.0,
175,HPVTEST,Have you ever had an HPV test?,An HPV test is sometimes given with the Pap test for cervical cancer screening. Have you ever had an HPV test?,count,"The variable records a number, duration, or frequency",optional_module,14.5,[80],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9482408155180032,0.9486464495012754,0.00040563398327220224,5,"[{""value"": ""<MISSING>"", ""count"": 311151, ""fraction"": 0.9482408155180032}, {""value"": ""2"", ""count"": 6940, ""fraction"": 0.021149831624179074}, {""value"": ""1"", ""count"": 5187, ""fraction"": 0.015807518247062946}, {""value"": ""7"", ""count"": 4820, ""fraction"": 0.014689076142441373}, {""value"": ""9"", ""count"": 37, ""fraction"": 0.00011275846831334665}]","[{""value"": ""<MISSING>"", ""count"": 103762, ""fraction"": 0.9486464495012754}, {""value"": ""2.0"", ""count"": 2292, ""fraction"": 0.020954662229495605}, {""value"": ""1.0"", ""count"": 1700, ""fraction"": 0.015542288739154681}, {""value"": ""7.0"", ""count"": 1616, ""fraction"": 0.014774316824984686}, {""value"": ""9.0"", ""count"": 9, ""fraction"": 8.228270508964243e-05}]",1.0,9.0,
176,HPLSTTST,How long since your last HPV test?,How long has it been since you had your last HPV test?,ordinal,Documented categories follow a meaningful order,optional_module,14.6,[81],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9841985768052783,0.9844577112608454,0.00025913445556702275,8,"[{""value"": ""<MISSING>"", ""count"": 322950, ""fraction"": 0.9841985768052783}, {""value"": ""1"", ""count"": 2304, ""fraction"": 0.007021500297133802}, {""value"": ""2"", ""count"": 922, ""fraction"": 0.002809819129321773}, {""value"": ""5"", ""count"": 868, ""fraction"": 0.0026452527161076995}, {""value"": ""3"", ""count"": 460, ""fraction"": 0.0014018620384902555}, {""value"": ""4"", ""count"": 357, ""fraction"": 0.0010879668429152635}, {""value"": ""7"", ""count"": 271, ""fraction"": 0.0008258795922409984}, {""value"": ""9"", ""count"": 3, ""fraction"": 9.14257851189297e-06}]","[{""value"": ""<MISSING>"", ""count"": 107679, ""fraction"": 0.9844577112608454}, {""value"": ""1.0"", ""count"": 766, ""fraction"": 0.007003172455407345}, {""value"": ""5.0"", ""count"": 285, ""fraction"": 0.0026056189945053436}, {""value"": ""2.0"", ""count"": 278, ""fraction"": 0.0025416213349911776}, {""value"": ""3.0"", ""count"": 148, ""fraction"": 0.0013530933725852312}, {""value"": ""4.0"", ""count"": 120, ""fraction"": 0.0010971027345285658}, {""value"": ""7.0"", ""count"": 103, ""fraction"": 0.000941679847137019}]",1.0,9.0,
177,HADHYST2,Had Hysterectomy,Have you had a hysterectomy? (A hysterectomy is an operation to remove the uterus (womb).),binary,Two documented substantive responses,optional_module,14.7,[81],"[{""code"": ""7"", ""label"": ""Don’t know/Not sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9487588949670105,0.9491218606862377,0.0003629657192272262,5,"[{""value"": ""<MISSING>"", ""count"": 311321, ""fraction"": 0.9487588949670105}, {""value"": ""2"", ""count"": 12045, ""fraction"": 0.03670745272525028}, {""value"": ""1"", ""count"": 4690, ""fraction"": 0.014292897740259344}, {""value"": ""9"", ""count"": 40, ""fraction"": 0.0001219010468252396}, {""value"": ""7"", ""count"": 39, ""fraction"": 0.00011885352065460863}]","[{""value"": ""<MISSING>"", ""count"": 103814, ""fraction"": 0.9491218606862377}, {""value"": ""2.0"", ""count"": 3977, ""fraction"": 0.03635981312683422}, {""value"": ""1.0"", ""count"": 1566, ""fraction"": 0.014317190685597784}, {""value"": ""9.0"", ""count"": 12, ""fraction"": 0.00010971027345285658}, {""value"": ""7.0"", ""count"": 10, ""fraction"": 9.142522787738048e-05}]",1.0,9.0,
178,PROFEXAM,Ever Had Breast Physical Exam by Doctor,"A clinical breast exam is when a doctor, nurse, or other health professional feels the breast for lumps. Have you ever had a clinical breast exam?",categorical,A small set of documented response categories,optional_module,15.1,[82],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9871363920337666,0.9872918933250441,0.00015550129127750445,5,"[{""value"": ""<MISSING>"", ""count"": 323914, ""fraction"": 0.9871363920337666}, {""value"": ""1"", ""count"": 3715, ""fraction"": 0.011321559723894129}, {""value"": ""2"", ""count"": 494, ""fraction"": 0.0015054779282917092}, {""value"": ""7"", ""count"": 8, ""fraction"": 2.4380209365047923e-05}, {""value"": ""9"", ""count"": 4, ""fraction"": 1.2190104682523961e-05}]","[{""value"": ""<MISSING>"", ""count"": 107989, ""fraction"": 0.9872918933250441}, {""value"": ""1.0"", ""count"": 1191, ""fraction"": 0.010888744640196017}, {""value"": ""2.0"", ""count"": 192, ""fraction"": 0.0017553643752457053}, {""value"": ""7.0"", ""count"": 5, ""fraction"": 4.571261393869024e-05}, {""value"": ""9.0"", ""count"": 2, ""fraction"": 1.8285045575476097e-05}]",1.0,9.0,
179,LENGEXAM,How Long since Last Breast Physical Exam,How long has it been since your last breast exam?,ordinal,Documented categories follow a meaningful order,optional_module,15.2,[82],"[{""code"": ""7"", ""label"": ""Don’t know/Not sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9886814878022765,0.9891203978825918,0.000438910080315269,8,"[{""value"": ""<MISSING>"", ""count"": 324421, ""fraction"": 0.9886814878022765}, {""value"": ""1"", ""count"": 2314, ""fraction"": 0.007051975558840112}, {""value"": ""2"", ""count"": 621, ""fraction"": 0.001892513751961845}, {""value"": ""5"", ""count"": 309, ""fraction"": 0.000941685586724976}, {""value"": ""3"", ""count"": 253, ""fraction"": 0.0007710241211696405}, {""value"": ""4"", ""count"": 179, ""fraction"": 0.0005455071845429473}, {""value"": ""7"", ""count"": 34, ""fraction"": 0.00010361588980145367}, {""value"": ""9"", ""count"": 4, ""fraction"": 1.2190104682523961e-05}]","[{""value"": ""<MISSING>"", ""count"": 108189, ""fraction"": 0.9891203978825918}, {""value"": ""1.0"", ""count"": 702, ""fraction"": 0.00641805099699211}, {""value"": ""2.0"", ""count"": 213, ""fraction"": 0.0019473573537882043}, {""value"": ""5.0"", ""count"": 135, ""fraction"": 0.0012342405763446365}, {""value"": ""3.0"", ""count"": 83, ""fraction"": 0.000758829391382258}, {""value"": ""4.0"", ""count"": 43, ""fraction"": 0.0003931284798727361}, {""value"": ""7.0"", ""count"": 14, ""fraction"": 0.00012799531902833267}]",1.0,9.0,
180,BLDSTOOL,Ever Had Blood Stool Test Using Home Kit,A blood stool test is a test that may use a special kit at home to determine whether the stool contains blood. Have you ever had this test using a home kit?,categorical,A small set of documented response categories,optional_module,16.1,[83],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.8773736419461502,0.8761188162261494,0.0012548257200007962,5,"[{""value"": ""<MISSING>"", ""count"": 287897, ""fraction"": 0.8773736419461502}, {""value"": ""2"", ""count"": 25179, ""fraction"": 0.07673366145031771}, {""value"": ""1"", ""count"": 14701, ""fraction"": 0.04480168223444619}, {""value"": ""7"", ""count"": 319, ""fraction"": 0.0009721608484312859}, {""value"": ""9"", ""count"": 39, ""fraction"": 0.00011885352065460863}]","[{""value"": ""<MISSING>"", ""count"": 95829, ""fraction"": 0.8761188162261494}, {""value"": ""2.0"", ""count"": 8592, ""fraction"": 0.07855255579224531}, {""value"": ""1.0"", ""count"": 4842, ""fraction"": 0.044268095338227634}, {""value"": ""7.0"", ""count"": 106, ""fraction"": 0.0009691074155002332}, {""value"": ""9.0"", ""count"": 10, ""fraction"": 9.142522787738048e-05}]",1.0,9.0,
181,LSTBLDS3,Time Since Last Blood Stool Test,How long has it been since you had your last blood stool test using a home kit?,ordinal,Documented categories follow a meaningful order,optional_module,16.2,[83],"[{""code"": ""7"", ""label"": ""Don’t know/Not sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9552013652917244,0.9557501897073478,0.0005488244156234279,8,"[{""value"": ""<MISSING>"", ""count"": 313435, ""fraction"": 0.9552013652917244}, {""value"": ""5"", ""count"": 5088, ""fraction"": 0.015505813156170478}, {""value"": ""1"", ""count"": 3954, ""fraction"": 0.012049918478674936}, {""value"": ""2"", ""count"": 1979, ""fraction"": 0.00603105429167873}, {""value"": ""4"", ""count"": 1778, ""fraction"": 0.0054185015313819}, {""value"": ""3"", ""count"": 1476, ""fraction"": 0.004498148627851342}, {""value"": ""7"", ""count"": 413, ""fraction"": 0.001258628308470599}, {""value"": ""9"", ""count"": 12, ""fraction"": 3.657031404757188e-05}]","[{""value"": ""<MISSING>"", ""count"": 104539, ""fraction"": 0.9557501897073478}, {""value"": ""5.0"", ""count"": 1725, ""fraction"": 0.015770851808848133}, {""value"": ""1.0"", ""count"": 1306, ""fraction"": 0.01194013476078589}, {""value"": ""2.0"", ""count"": 666, ""fraction"": 0.0060889201766335405}, {""value"": ""4.0"", ""count"": 555, ""fraction"": 0.0050741001471946165}, {""value"": ""3.0"", ""count"": 437, ""fraction"": 0.003995282458241527}, {""value"": ""7.0"", ""count"": 148, ""fraction"": 0.0013530933725852312}, {""value"": ""9.0"", ""count"": 3, ""fraction"": 2.7427568363214145e-05}]",1.0,9.0,
182,HADSIGM3,Ever Had Sigmoidoscopy/Colonoscopy,Sigmoidoscopy and colonoscopy are exams in which a tube is inserted in the rectum to view the colon for signs of cancer or other health problems. Have you ever had either of these exams?,categorical,A small set of documented response categories,optional_module,16.3,[84],"[{""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.8774467825742454,0.8761919564084514,0.0012548261657939763,5,"[{""value"": ""<MISSING>"", ""count"": 287921, ""fraction"": 0.8774467825742454}, {""value"": ""1"", ""count"": 29176, ""fraction"": 0.08891462355432977}, {""value"": ""2"", ""count"": 10835, ""fraction"": 0.03301994605878678}, {""value"": ""7"", ""count"": 159, ""fraction"": 0.00048455666113032743}, {""value"": ""9"", ""count"": 44, ""fraction"": 0.00013409115150776358}]","[{""value"": ""<MISSING>"", ""count"": 95837, ""fraction"": 0.8761919564084514}, {""value"": ""1.0"", ""count"": 9783, ""fraction"": 0.08944130043244133}, {""value"": ""2.0"", ""count"": 3674, ""fraction"": 0.033589628722149587}, {""value"": ""7.0"", ""count"": 70, ""fraction"": 0.0006399765951416634}, {""value"": ""9.0"", ""count"": 15, ""fraction"": 0.00013713784181607072}]",1.0,9.0,
183,HADSGCO1,Was your last test a sigmoidoscopy or colonoscopy?,"For a SIGMOIDOSCOPY, a flexible tube is inserted into the rectum to look for problems. A COLONOSCOPY is similar, but uses a longer tube, and you are usually given medication through a needle in your arm to make you sleepy and told to have someone else drive you home after the test. Was your MOST RECENT exam a sigmoidoscopy or a colonoscopy?",binary,Two documented substantive responses,optional_module,16.4,[84],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9111280418120591,0.9106226972270728,0.0005053445849863003,5,"[{""value"": ""<MISSING>"", ""count"": 298973, ""fraction"": 0.9111280418120591}, {""value"": ""2"", ""count"": 27433, ""fraction"": 0.08360278543891995}, {""value"": ""1"", ""count"": 1144, ""fraction"": 0.003486369939201853}, {""value"": ""7"", ""count"": 568, ""fraction"": 0.0017309948649184025}, {""value"": ""9"", ""count"": 17, ""fraction"": 5.1807944900726836e-05}]","[{""value"": ""<MISSING>"", ""count"": 99603, ""fraction"": 0.9106226972270728}, {""value"": ""2.0"", ""count"": 9204, ""fraction"": 0.08414777973834099}, {""value"": ""1.0"", ""count"": 366, ""fraction"": 0.003346163340312126}, {""value"": ""7.0"", ""count"": 198, ""fraction"": 0.0018102195119721336}, {""value"": ""9.0"", ""count"": 8, ""fraction"": 7.314018230190439e-05}]",1.0,9.0,
184,LASTSIG3,Time Since Last Sigmoidoscopy/Colonoscopy,How long has it been since you had your last sigmoidoscopy or colonoscopy?,ordinal,Documented categories follow a meaningful order,optional_module,16.5,[85],"[{""code"": ""7"", ""label"": ""Don’t know/Not sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.911137184390571,0.9106226972270728,0.0005144871634982229,9,"[{""value"": ""<MISSING>"", ""count"": 298976, ""fraction"": 0.911137184390571}, {""value"": ""1"", ""count"": 6289, ""fraction"": 0.019165892087098298}, {""value"": ""4"", ""count"": 6207, ""fraction"": 0.018915994941106556}, {""value"": ""5"", ""count"": 5447, ""fraction"": 0.016599875051427005}, {""value"": ""2"", ""count"": 4556, ""fraction"": 0.013884529233394791}, {""value"": ""3"", ""count"": 4296, ""fraction"": 0.013092172429030734}, {""value"": ""6"", ""count"": 1967, ""fraction"": 0.0059944839776311576}, {""value"": ""7"", ""count"": 375, ""fraction"": 0.0011428223139866214}, {""value"": ""9"", ""count"": 22, ""fraction"": 6.704557575388179e-05}]","[{""value"": ""<MISSING>"", ""count"": 99603, ""fraction"": 0.9106226972270728}, {""value"": ""1.0"", ""count"": 2105, ""fraction"": 0.019245010468188592}, {""value"": ""4.0"", ""count"": 2095, ""fraction"": 0.019153585240311213}, {""value"": ""5.0"", ""count"": 1857, ""fraction"": 0.016977664816829555}, {""value"": ""2.0"", ""count"": 1541, ""fraction"": 0.014088627615904332}, {""value"": ""3.0"", ""count"": 1423, ""fraction"": 0.013009809926951242}, {""value"": ""6.0"", ""count"": 629, ""fraction"": 0.005750646833487232}, {""value"": ""7.0"", ""count"": 117, ""fraction"": 0.0010696751661653516}, {""value"": ""9.0"", ""count"": 9, ""fraction"": 8.228270508964243e-05}]",1.0,9.0,
185,PCPSAAD2,Has a health professional EVER talked with you about the advantages of the PSA test?,"Has a doctor, nurse, or other health professional EVER talked with you about the advantages of the PSA test?",binary,Two documented substantive responses,optional_module,17.1,[85],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9851463574443445,0.9845857065798737,0.0005606508644708796,5,"[{""value"": ""<MISSING>"", ""count"": 323261, ""fraction"": 0.9851463574443445}, {""value"": ""1"", ""count"": 2836, ""fraction"": 0.008642784219909489}, {""value"": ""2"", ""count"": 1832, ""fraction"": 0.005583067944595974}, {""value"": ""7"", ""count"": 183, ""fraction"": 0.0005576972892254713}, {""value"": ""9"", ""count"": 23, ""fraction"": 7.009310192451278e-05}]","[{""value"": ""<MISSING>"", ""count"": 107693, ""fraction"": 0.9845857065798737}, {""value"": ""1.0"", ""count"": 1013, ""fraction"": 0.009261375583978644}, {""value"": ""2.0"", ""count"": 606, ""fraction"": 0.005540368809369258}, {""value"": ""7.0"", ""count"": 59, ""fraction"": 0.0005394088444765449}, {""value"": ""9.0"", ""count"": 8, ""fraction"": 7.314018230190439e-05}]",1.0,9.0,
186,PCPSADI1,Has a health professional EVER talked with you about the disadvantages of the PSA test?,"Has a doctor, nurse, or other health professional EVER talked with you about the disadvantages of the PSA test?",binary,Two documented substantive responses,optional_module,17.2,[86],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9851646426013684,0.9845948491026614,0.0005697934987070052,5,"[{""value"": ""<MISSING>"", ""count"": 323267, ""fraction"": 0.9851646426013684}, {""value"": ""2"", ""count"": 3297, ""fraction"": 0.010047693784570376}, {""value"": ""1"", ""count"": 1346, ""fraction"": 0.004101970225669313}, {""value"": ""7"", ""count"": 207, ""fraction"": 0.000630837917320615}, {""value"": ""9"", ""count"": 18, ""fraction"": 5.485547107135783e-05}]","[{""value"": ""<MISSING>"", ""count"": 107694, ""fraction"": 0.9845948491026614}, {""value"": ""2.0"", ""count"": 1147, ""fraction"": 0.010486473637535541}, {""value"": ""1.0"", ""count"": 461, ""fraction"": 0.0042147030051472405}, {""value"": ""7.0"", ""count"": 68, ""fraction"": 0.0006216915495661873}, {""value"": ""9.0"", ""count"": 9, ""fraction"": 8.228270508964243e-05}]",1.0,9.0,
187,PCPSARE1,Has a doctor EVER recommended that you have a PSA test?,"Has a doctor, nurse, or other health professional EVER recommended that you have a PSA test?",binary,Two documented substantive responses,optional_module,17.3,[86],"[{""code"": ""7"", ""label"": ""Don’t know/Not Sure""}, {""code"": ""9"", ""label"": ""Refused""}, {""code"": ""BLANK"", ""label"": ""Not asked or Missing""}]",Not asked or Missing,contemporaneous,none,,include,,0.9851798802322215,0.9845948491026614,0.0005850311295600985,5,"[{""value"": ""<MISSING>"", ""count"": 323272, ""fraction"": 0.9851798802322215}, {""value"": ""1"", ""count"": 2532, ""fraction"": 0.0077163362640376675}, {""value"": ""2"", ""count"": 2138, ""fraction"": 0.006515610952809057}, {""value"": ""7"", ""count"": 169, ""fraction"": 0.0005150319228366374}, {""value"": ""9"", ""count"": 24, ""fraction"": 7.314062809514376e-05}]","[{""value"": ""<MISSING>"", ""count"": 107694, ""fraction"": 0.9845948491026614}, {""value"": ""1.0"", ""count"": 895, ""fraction"": 0.008182557895025554}, {""value"": ""2.0"", ""count"": 720, ""fraction"": 0.006582616407171395}, {""value"": ""7.0"", ""count"": 60, ""fraction"": 0.0005485513672642829}, {""value"": ""9.0"", ""count"": 10, ""fraction"": 9.142522787738048e-05}]",1.0,9.0,
